,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow,Zero_Flow
Year,1980,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
150100010508,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
150100010607,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150100010608,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150100020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
150100020405,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150100020908,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150100020909,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150100100208,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150100100602,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150200010403,,,,,,,,,,,,,,,,,,,,,,,,,18.0,148.0,291.0,313.0,261.0,,,,,,,,,,,,,
150200020103,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,96.0,143.0,171.0,183.0,330.0,333.0,365.0,332.0,286.0,331.0,315.0,283.0,313.0,319.0,260.0,291.0,228.0,239.0,310.0,312.0,220.0,250.0,14.0
150200020709,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,41.0,26.0,65.0,41.0,35.0,21.0,11.0,65.0,17.0,0.0,6.0,41.0,49.0,64.0,13.0,0.0,43.0,22.0,25.0,42.0,91.0,68.0,17.0,4.0,10.0,0.0
150200080206,,,,,,,,,,,,,,,,,,,,0.0,21.0,26.0,24.0,39.0,18.0,28.0,51.0,73.0,53.0,26.0,49.0,4.0,44.0,56.0,96.0,87.0,0.0,0.0,0.0,0.0,0.0,
150200080510,,,,,,,,,,,,,,,,,,,,,,,89.0,344.0,310.0,347.0,310.0,339.0,335.0,313.0,344.0,322.0,350.0,311.0,342.0,293.0,356.0,334.0,315.0,304.0,338.0,14.0
150200080611,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150200100110,,,,,,,,,,,,91.0,361.0,267.0,259.0,309.0,277.0,264.0,365.0,313.0,281.0,229.0,365.0,247.0,239.0,266.0,271.0,262.0,265.0,237.0,312.0,237.0,202.0,255.0,365.0,237.0,248.0,359.0,218.0,229.0,291.0,14.0
150200130402,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,17.0,20.0,77.0,48.0,35.0,87.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,78.0,71.0,70.0,154.0,119.0,,,,,
150200140204,,,,,,,,,,116.0,253.0,333.0,328.0,357.0,339.0,261.0,321.0,327.0,350.0,327.0,290.0,239.0,,,,,,,,,,,,,,,,,,,,
150301040305,,,,0.5,39.0,59.0,3.0,27.0,24.0,29.0,25.0,44.0,77.5,79.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150301040306,,,,0.5,39.0,59.0,3.0,27.0,24.0,29.0,25.0,44.0,77.5,79.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150301070105,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150302040202,,,,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150302040409,,,,,,151.0,118.0,122.0,34.0,0.0,0.0,0.0,,,,,,198.0,120.0,142.0,72.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,52.0,209.0,255.0,323.0,365.0,72.0,157.0,0.0,0.0,38.0,0.0,0.0,0.0
150400050909,,,,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,24.0,101.0,14.0,0.0,21.0,0.0,0.0,45.0,0.0,24.0,10.0,2.0,11.0,0.0,0.0,0.0,1.0,5.0,89.0,0.0,0.0,0.0,0.0,0.0
150400050910,,,,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,24.0,101.0,14.0,0.0,21.0,0.0,0.0,45.0,0.0,24.0,10.0,2.0,11.0,0.0,0.0,0.0,1.0,5.0,89.0,0.0,0.0,0.0,0.0,0.0
150400060808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,265.0,311.0,309.0,14.0
150501000111,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,63.0,41.0,51.0,0.0,,,,,,,,,,,,,,,,,,,,,
150501000207,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0
150501000208,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0
150501000711,,,,,,,,,,,,,,,,,,,,,91.0,346.0,358.0,328.0,324.0,273.0,,,,,,,,,,,,,,,,
150502020507,,,,,,,78.0,63.0,,,,29.0,72.0,79.0,38.0,52.0,58.0,0.0,53.0,67.0,43.0,39.0,39.0,0.0,0.0,64.0,37.0,127.0,58.0,46.0,71.0,0.0,141.0,196.0,268.0,189.0,228.0,298.0,195.0,243.0,327.0,14.0
150503010908,,,,,,3.0,41.0,0.0,122.0,2.0,0.0,,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,10.0,9.0,30.0,0.0,0.0,5.0,18.0,0.0,152.0,191.0,96.0,65.0,10.0,88.0,0.0,0.0,0.0,2.0,0.0,0.0
150503040405,,,,,,,,,137.0,214.0,1.0,0.0,,91.0,216.0,106.0,111.0,84.0,202.0,99.0,345.0,341.0,334.0,255.0,334.0,352.0,346.0,337.0,319.0,338.0,334.0,338.0,347.0,341.0,341.0,330.0,353.0,334.0,351.0,354.0,341.0,14.0
150601010308,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150601020301,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150601030108,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150601030904,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150601040105,,,,,,,,,,,,,,,,,,,93.0,199.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
150601050311,,,,0.0,2.0,11.5,16.0,0.0,0.0,0.0,0.0,0.0,47.0,17.5,0.0,10.0,61.0,48.0,168.0,51.0,59.0,0.0,46.0,44.0,37.0,117.0,0.0,57.0,86.0,15.0,62.0,51.0,3.0,96.0,99.0,69.0,126.0,65.0,50.0,104.0,113.0,0.0
150601060306,,,,,,,,,,,,,,,,,,,91.0,343.0,340.0,119.0,45.0,127.0,107.0,228.0,,,,,,,,,,,,,,,,
150602020108,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150602020607,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150602030405,,,0.0,0.0,0.0,56.0,51.0,134.0,38.0,26.0,80.0,45.0,69.0,52.0,106.0,59.0,156.0,141.0,191.0,136.0,80.0,52.0,54.0,120.0,124.0,109.0,97.0,154.0,135.0,33.0,110.0,1.0,50.0,165.0,150.0,163.0,178.0,77.0,101.0,174.0,178.0,0.0
150602030408,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150602030409,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150701020206,,,,,,,,,,,,,,,,,0.0,0.0,22.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,0.0,6.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150701020605,0.0,,,,36.0,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150701020607,0.0,,,,36.0,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150701020808,,,,,,,139.0,103.0,310.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150701030311,,,,,,,0.0,5.0,0.0,0.0,0.0,60.0,199.0,222.0,88.0,0.0,115.0,243.0,341.0,304.0,295.0,80.0,182.0,132.0,228.0,354.0,110.0,365.0,342.0,308.0,311.0,331.0,358.0,351.0,354.0,293.0,213.0,233.0,159.0,244.0,327.0,15.0
150701030507,,,,,,,9.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,11.0,4.0,8.0,9.0,7.0,10.0,12.0,26.0,4.0,9.0,43.0,15.0,77.0,19.0,0.0,0.0,11.0,0.0,13.0,0.0
150702010803,,,,,,,,,,,,93.0,364.0,267.0,363.0,363.0,364.0,363.0,273.0,242.0,330.0,141.0,355.0,363.0,338.0,363.0,264.0,356.0,362.0,363.0,361.0,365.0,365.0,301.0,356.0,360.0,363.0,359.0,365.0,287.0,360.0,15.0
150702011502,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150803010412,,,,,,,,,,,,,,,,,,,62.0,268.0,306.0,302.0,294.0,293.0,299.0,347.0,305.0,283.0,294.0,272.0,293.0,206.0,291.0,324.0,282.0,260.0,314.0,259.0,250.0,348.0,302.0,15.0
